time;lat;lng;alt_rel;alt_abs;voltage_bat;current_bat;level_bat;pitch;yaw;roll;vx;vy;vz;fixtype;satellitesvisible;eph;epv;heading;groundspeed;airspeed;mode;system-status;armed;is-armable;ekf-ok
0.9;6.53582053;-75.82910452;0;0;17.06;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0;0;P-GPS;CRITICAL;false;false;false
1;6.53582053;-75.82910453;0;0;17.06;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;P-GPS;CRITICAL;false;false;false
1.1;6.53582053;-75.82910433;0;0;17.06;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;P-GPS;CRITICAL;false;false;false
1.2;6.53582052;-75.82910434;0;0;17.06;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0;0;P-GPS;CRITICAL;false;false;false
1.3;6.53582042;-75.82910424;0;0;17.06;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;P-GPS;CRITICAL;false;false;false
1.4;6.53582043;-75.82910424;0;0;17.06;0.04;98;0.2;-116.4;1.4;0;0;0;3;10;192;65535;72;0.01;0;P-GPS;CRITICAL;false;false;false
1.5;6.53582046;-75.82910425;0;0;17.06;0.01;98;0.2;-116.4;1.4;0;0;0;3;10;192;65535;72;0;0;P-GPS;CRITICAL;false;false;false
1.7;6.53582047;-75.82910405;0;0;17.06;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;P-GPS;CRITICAL;false;false;false
1.8;6.53582045;-75.82910405;0;0;17.06;0.08;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;P-GPS;CRITICAL;false;false;false
1.9;6.53582045;-75.82910395;0;0;17.06;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;P-GPS;CRITICAL;false;false;false
2;6.53582045;-75.82910395;0;0;16.957;0.01;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;Auto Takeoff;CRITICAL;false;false;false
2.1;6.53582044;-75.82910383;0;0;16.957;0.01;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0;0;Auto Takeoff;CRITICAL;false;false;false
2.2;6.53582044;-75.82910383;0;0;16.957;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;Auto Takeoff;CRITICAL;false;false;false
2.3;6.53582044;-75.82910373;0;0;16.957;0;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;Auto Takeoff;CRITICAL;false;false;false
2.4;6.53582044;-75.82910375;0;0;16.957;0.01;98;0.2;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;Auto Takeoff;CRITICAL;false;false;false
2.5;6.53582044;-75.82910365;0;0;16.957;0.02;98;0.3;-116.5;1.4;0;0;0;3;10;192;65535;72;0.01;0;Auto Takeoff;CRITICAL;false;false;false
2.7;6.53582056;-75.82910347;0;0;16.957;0;98;0.4;-116.5;1.5;0;0;0;3;10;192;65535;72;0.01;0;Auto Takeoff;CRITICAL;false;false;false
