time;lat;lng;alt_rel;alt_abs;voltage_bat;current_bat;level_bat;pitch;yaw;roll;vx;vy;vz;fixtype;satellitesvisible;eph;epv;heading;groundspeed;airspeed;mode;system-status;armed;is-armable;ekf-ok
0.0;-22.0059594;-47.8986881;-1.71;828.76;11.391;0.0;99.0;0.041441287845373154;1.2637015581130981;-0.0048013608902692795;0.0;0.0;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
0.5;-22.0059595;-47.8986883;-1.72;828.8;11.37;0.0;99.0;0.041581615805625916;1.2633764743804932;-0.004770129453390837;-0.01;0.0;0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
1.0;-22.0059596;-47.8986885;-1.71;828.81;11.293;0.0;99.0;0.04159342870116234;1.2635586261749268;-0.004718786105513573;0.0;-0.01;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
1.5;-22.0059597;-47.8986888;-1.74;828.9;11.335;0.0;99.0;0.04152374342083931;1.2640931606292725;-0.004768665414303541;0.0;0.0;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
2.0;-22.0059597;-47.8986889;-1.71;828.95;11.384;0.0;99.0;0.041546519845724106;1.2643966674804688;-0.004659730941057205;-0.01;-0.01;0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
2.5;-22.0059598;-47.8986892;-1.71;829.03;11.382;0.04;99.0;0.04159457981586456;1.2642834186553955;-0.0046159191988408566;-0.01;-0.01;0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
3.0;-22.0059598;-47.8986895;-1.72;829.09;11.3;0.01;99.0;0.04165954887866974;1.2643040418624878;-0.004686059430241585;0.01;-0.01;-0.01;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
3.5;-22.0059597;-47.8986897;-1.73;829.17;11.349;0.0;99.0;0.041550904512405396;1.2639968395233154;-0.004691569600254297;0.0;0.0;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
4.0;-22.0059597;-47.8986899;-1.75;829.22;11.369;0.08;99.0;0.041621770709753036;1.2641379833221436;-0.004896680824458599;0.01;-0.01;-0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
4.5;-22.0059597;-47.89869;-1.76;829.24;11.224;0.0;99.0;0.04169408977031708;1.2639153003692627;-0.004946715198457241;-0.01;0.0;0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
5.0;-22.0059597;-47.8986903;-1.77;829.27;11.447;0.01;99.0;0.0416068397462368;1.2642871141433716;-0.004816957283765078;0.0;-0.01;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
5.5;-22.0059597;-47.8986904;-1.77;829.28;11.293;0.01;99.0;0.04149356484413147;1.264140009880066;-0.004844229202717543;0.0;0.0;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
6.0;-22.0059598;-47.8986907;-1.78;829.29;11.314;0.0;99.0;0.04142269864678383;1.26388680934906;-0.004925279878079891;0.0;0.0;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
6.5;-22.0059599;-47.898691;-1.78;829.31;11.352;0.0;99.0;0.04152658209204674;1.2638239860534668;-0.00486591923981905;0.01;0.0;-0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
7.0;-22.0059599;-47.8986911;-1.78;829.31;11.37;0.01;99.0;0.04142874851822853;1.2634615898132324;-0.004932267125695944;0.0;0.0;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
7.5;-22.0059599;-47.8986912;-1.76;829.3;11.412;0.02;99.0;0.04152018949389458;1.2631642818450928;-0.004842882044613361;0.01;0.0;-0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
8.0;-22.0059599;-47.8986914;-1.74;829.29;11.363;0.0;99.0;0.04155019298195839;1.2631701231002808;-0.004832693375647068;0.0;-0.01;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
8.5;-22.0059599;-47.8986915;-1.73;829.28;11.419;0.0;99.0;0.04151801019906998;1.263674020767212;-0.004795650951564312;0.0;0.0;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
9.0;-22.0059599;-47.8986917;-1.71;829.27;11.37;0.0;99.0;0.04148203507065773;1.263674259185791;-0.004709869157522917;0.0;-0.01;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
9.5;-22.0059599;-47.8986918;-1.72;829.27;11.315;0.0;99.0;0.04145416244864464;1.2640403509140015;-0.004732439294457436;0.0;0.0;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
10.0;-22.00596;-47.898692;-1.71;829.27;11.272;0.0;99.0;0.0413665734231472;1.2640101909637451;-0.004641821142286062;0.0;-0.01;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
10.5;-22.00596;-47.898692;-1.67;829.25;11.426;0.0;99.0;0.041410427540540695;1.2640008926391602;-0.004746678750962019;0.01;0.0;-0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
11.0;-22.0059602;-47.8986921;-1.67;829.23;11.363;0.0;99.0;0.041689518839120865;1.2638005018234253;-0.004875573795288801;0.0;-0.01;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
11.5;-22.0059603;-47.8986921;-1.68;829.21;11.363;0.0;99.0;0.041770465672016144;1.2636423110961914;-0.005075959023088217;0.01;0.0;-0.01;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
12.0;-22.0059605;-47.8986922;-1.67;829.19;11.468;0.0;99.0;0.041627537459135056;1.263871431350708;-0.005135460756719112;-0.01;0.0;0.01;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
12.5;-22.0059605;-47.8986922;-1.67;829.19;11.315;0.0;99.0;0.04163801297545433;1.2637786865234375;-0.005011356435716152;-0.01;-0.01;0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
13.0;-22.0059607;-47.8986922;-1.7;829.2;11.44;0.0;99.0;0.04154058173298836;1.264105200767517;-0.004891617689281702;0.0;0.0;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
13.5;-22.0059609;-47.8986923;-1.7;829.22;11.286;0.0;99.0;0.04155423864722252;1.2632850408554077;-0.005111276172101498;0.0;0.0;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
14.0;-22.005961;-47.8986923;-1.72;829.22;11.377;0.0;99.0;0.041370246559381485;1.2634923458099365;-0.005000753793865442;0.0;0.0;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
14.5;-22.0059612;-47.8986923;-1.71;829.22;11.391;0.0;99.0;0.04144637659192085;1.263461947441101;-0.004998014774173498;0.0;0.0;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
15.0;-22.0059613;-47.8986924;-1.71;829.25;11.342;0.0;99.0;0.04148654267191887;1.2634854316711426;-0.005113691091537476;0.02;0.0;-0.02;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
15.5;-22.0059613;-47.8986924;-1.71;829.26;11.407;0.02;99.0;0.041551798582077026;1.2637332677841187;-0.005199797451496124;0.0;0.0;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
16.0;-22.0059613;-47.8986925;-1.71;829.26;11.314;0.03;99.0;0.04157373681664467;1.2638791799545288;-0.005167535040527582;-0.01;0.0;0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
16.5;-22.0059613;-47.8986925;-1.7;829.24;11.377;0.01;99.0;0.04154685512185097;1.264262080192566;-0.005196061450988054;-0.02;0.01;0.02;3;11;192;65535;72.0;0.029999999329447746;0.029999999329447746;STABILIZE;CRITICAL;false;false;false
17.0;-22.0059614;-47.8986926;-1.73;829.18;11.37;0.06;99.0;0.04165906831622124;1.2639307975769043;-0.005090090911835432;-0.01;0.0;0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
17.5;-22.0059615;-47.8986927;-1.72;829.16;11.272;0.0;99.0;0.04170401394367218;1.2637649774551392;-0.0050589251331985;0.0;-0.01;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
18.0;-22.0059617;-47.8986929;-1.73;829.09;11.405;0.0;99.0;0.04157483950257301;1.2634118795394897;-0.0050856368616223335;0.0;0.01;0.0;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
18.5;-22.0059618;-47.8986929;-1.73;829.07;11.425;0.02;99.0;0.04149288311600685;1.2635265588760376;-0.005062457639724016;0.01;0.0;-0.01;3;11;192;65535;72.0;0.019999999552965164;0.019999999552965164;STABILIZE;CRITICAL;false;false;false
19.0;-22.0059621;-47.8986931;-1.72;829.01;11.303;0.01;99.0;0.041516322642564774;1.2635427713394165;-0.004998391028493643;0.01;-0.01;-0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
19.5;-22.0059624;-47.8986932;-1.72;828.95;11.321;0.01;99.0;0.04174139350652695;1.263885259628296;-0.004990646615624428;0.0;0.0;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
20.0;-22.0059625;-47.8986931;-1.7;828.91;11.251;0.0;99.0;0.04185546562075615;1.2640080451965332;-0.004951223265379667;-0.02;0.0;0.02;3;11;192;65535;72.0;0.019999999552965164;0.019999999552965164;STABILIZE;CRITICAL;false;false;false
20.5;-22.0059628;-47.8986931;-1.68;828.84;11.356;0.0;99.0;0.041830528527498245;1.2636679410934448;-0.00494164926931262;-0.01;-0.01;0.01;3;11;192;65535;72.0;0.009999999776482582;0.009999999776482582;STABILIZE;CRITICAL;false;false;false
21.0;-22.005963;-47.898693;-1.69;828.74;11.363;0.06;99.0;0.04183628410100937;1.263772964477539;-0.005120301619172096;0.0;0.0;0.0;3;11;192;65535;72.0;0.0;0.0;STABILIZE;CRITICAL;false;false;false
